Partida,STEEVE,FRANCOIS,ALONSO,JIMMY,RICK,YURIKO,BARBARA,SHELDA,Won,Lost
80,0,0,0,1,0,1,0,0,1,0
81,0,0,0,0,1,0,0,1,1,0
82,0,1,0,1,0,0,0,0,0,1
83,1,0,0,1,0,0,0,0,1,0
84,0,1,0,0,0,1,0,0,1,0
85,0,1,0,0,0,0,1,0,0,1
86,0,1,0,0,0,0,1,0,0,1
87,0,1,0,0,1,0,0,0,1,0
88,0,0,0,1,0,1,0,0,1,0
89,0,1,0,0,0,0,1,0,1,0
90,0,0,0,0,1,0,0,1,0,1
91,0,1,1,1,0,0,0,0,0,1
92,1,0,0,1,0,0,0,0,0,1
93,0,1,0,0,0,1,0,0,0,1
94,0,1,0,0,0,0,1,0,0,1
95,0,1,0,0,0,0,1,0,0,1
96,0,1,0,0,1,0,0,0,1,0
97,1,0,0,0,0,1,0,0,1,0
98,0,1,0,0,0,0,1,0,0,1
99,0,0,0,1,0,0,1,0,0,1
100,0,1,0,0,0,0,1,0,0,1
101,1,0,0,0,0,0,1,0,0,1
102,0,1,0,0,0,0,1,0,0,1
103,0,0,0,1,0,0,0,1,0,1
104,0,0,0,1,0,1,0,0,1,0
105,1,0,0,0,0,0,0,1,1,0
106,0,0,0,1,1,0,0,0,0,1
107,0,0,0,1,0,1,0,0,1,0
108,0,0,0,0,0,1,1,0,1,0
109,0,0,0,1,0,1,0,0,1,0
110,0,1,0,0,0,0,1,0,0,1
111,0,0,0,0,1,0,0,1,1,0
112,0,1,1,1,0,0,0,0,1,0
113,1,0,0,1,0,0,0,0,1,0
114,0,1,0,0,0,1,0,0,0,1
115,0,1,0,0,0,0,1,0,0,1
116,0,1,0,0,0,1,1,0,1,0
117,1,1,0,0,1,0,0,0,0,1
118,1,0,0,0,1,1,0,0,1,0
119,0,1,0,0,0,0,1,1,0,1
120,0,0,0,1,0,0,1,1,0,1
121,0,1,0,0,0,0,1,1,1,0
122,1,0,0,0,0,1,1,0,0,1
123,0,1,0,0,0,0,1,1,1,0
124,0,0,0,1,0,0,0,1,1,0
125,0,0,0,1,0,1,0,0,0,1
126,1,0,0,0,0,0,0,1,0,1
127,0,0,0,1,1,0,0,0,1,0
128,0,0,0,1,0,1,0,0,0,1
129,0,0,0,0,0,1,1,0,0,1
130,0,0,0,1,0,1,0,0,1,0
131,0,1,0,0,0,0,1,0,1,0
132,0,0,1,0,1,0,0,1,0,1
133,0,1,0,1,0,0,0,0,0,1
134,1,0,0,1,0,0,0,0,1,0
135,0,1,0,0,0,1,0,0,0,1
136,0,1,0,0,0,0,1,0,0,1
137,0,1,0,0,0,0,1,0,1,0
138,0,1,0,0,1,0,0,0,1,0
139,1,0,0,0,0,1,0,0,1,0
140,0,1,0,0,0,0,1,1,1,0
141,1,0,0,0,0,0,1,0,0,1
142,0,1,0,0,0,0,1,1,0,1
143,0,0,0,1,0,0,0,1,0,1
144,0,0,1,1,0,1,0,0,1,0
145,1,0,0,0,0,0,0,1,0,1
146,0,0,0,1,0,1,0,0,1,0
147,1,0,0,0,0,0,0,1,0,1
148,0,0,1,1,1,0,0,0,1,0
149,0,0,1,1,0,1,0,0,0,1
150,0,0,0,0,0,1,1,0,1,0
151,0,0,0,0,0,1,1,0,1,0
152,0,0,0,0,1,0,1,0,1,0
153,0,0,0,0,1,1,0,0,1,0
